LSOA_code,outcome_type,crime_type,date_month,2019,2020,2021,2022
891,0,8,3,1,0,0,0
717,0,8,3,1,0,0,0
891,1,9,3,1,0,0,0
607,1,7,3,1,0,0,0
835,1,9,3,1,0,0,0
762,0,8,3,1,0,0,0
891,0,3,3,1,0,0,0
1086,0,5,3,1,0,0,0
998,0,8,3,1,0,0,0
458,0,7,3,1,0,0,0
894,0,8,3,1,0,0,0
439,0,5,3,1,0,0,0
710,1,8,3,1,0,0,0
823,1,2,3,1,0,0,0
891,0,5,3,1,0,0,0
1035,0,0,3,1,0,0,0
891,0,8,3,1,0,0,0
835,0,8,3,1,0,0,0
572,1,2,3,1,0,0,0
487,1,8,3,1,0,0,0
891,0,8,3,1,0,0,0
587,0,8,3,1,0,0,0
922,1,8,3,1,0,0,0
503,0,5,3,1,0,0,0
919,1,8,3,1,0,0,0
643,0,9,3,1,0,0,0
649,0,8,3,1,0,0,0
1057,0,9,3,1,0,0,0
919,1,8,3,1,0,0,0
1014,0,8,3,1,0,0,0
1063,1,2,3,1,0,0,0
475,0,8,3,1,0,0,0
665,1,9,3,1,0,0,0
544,0,3,3,1,0,0,0
615,1,9,3,1,0,0,0
665,1,9,3,1,0,0,0
1078,0,8,3,1,0,0,0
568,0,9,3,1,0,0,0
1057,1,2,3,1,0,0,0
677,0,8,3,1,0,0,0
461,1,2,3,1,0,0,0
891,1,9,3,1,0,0,0
787,0,8,3,1,0,0,0
1051,1,9,3,1,0,0,0
626,1,5,3,1,0,0,0
940,1,8,3,1,0,0,0
120,0,8,3,1,0,0,0
475,1,9,3,1,0,0,0
940,1,8,3,1,0,0,0
677,1,2,3,1,0,0,0
919,1,8,3,1,0,0,0
1035,0,8,3,1,0,0,0
475,0,9,3,1,0,0,0
479,0,8,3,1,0,0,0
1065,0,8,3,1,0,0,0
1024,0,8,3,1,0,0,0
1065,0,8,3,1,0,0,0
941,0,9,3,1,0,0,0
1057,0,5,3,1,0,0,0
475,1,8,3,1,0,0,0
475,1,8,3,1,0,0,0
1099,0,8,3,1,0,0,0
891,1,2,3,1,0,0,0
481,0,5,3,1,0,0,0
1065,0,8,3,1,0,0,0
1065,0,9,3,1,0,0,0
1054,1,8,3,1,0,0,0
715,1,9,3,1,0,0,0
850,1,8,3,1,0,0,0
850,1,1,3,1,0,0,0
475,0,8,3,1,0,0,0
1165,0,8,3,1,0,0,0
926,1,8,3,1,0,0,0
963,0,8,3,1,0,0,0
579,1,8,3,1,0,0,0
7,1,3,3,1,0,0,0
678,1,5,3,1,0,0,0
442,0,8,3,1,0,0,0
694,0,8,3,1,0,0,0
990,0,9,3,1,0,0,0
814,1,8,3,1,0,0,0
1000,0,8,3,1,0,0,0
1061,0,8,3,1,0,0,0
860,0,9,3,1,0,0,0
914,0,8,3,1,0,0,0
977,0,8,3,1,0,0,0
631,0,8,3,1,0,0,0
537,0,8,3,1,0,0,0
897,0,1,3,1,0,0,0
933,0,8,3,1,0,0,0
907,0,9,3,1,0,0,0
860,0,8,3,1,0,0,0
860,0,8,3,1,0,0,0
1068,1,2,3,1,0,0,0
755,0,8,3,1,0,0,0
894,1,8,3,1,0,0,0
475,1,9,3,1,0,0,0
919,1,8,3,1,0,0,0
875,1,9,3,1,0,0,0
587,0,8,3,1,0,0,0
468,1,2,3,1,0,0,0
475,1,9,3,1,0,0,0
767,0,8,3,1,0,0,0
475,1,8,3,1,0,0,0
547,0,3,3,1,0,0,0
620,0,7,3,1,0,0,0
615,1,9,3,1,0,0,0
939,0,5,3,1,0,0,0
636,1,8,3,1,0,0,0
556,1,8,3,1,0,0,0
718,1,8,3,1,0,0,0
468,1,2,3,1,0,0,0
468,0,4,3,1,0,0,0
1069,0,8,3,1,0,0,0
1051,1,3,3,1,0,0,0
1063,0,7,3,1,0,0,0
756,0,1,3,1,0,0,0
709,0,5,3,1,0,0,0
750,0,8,3,1,0,0,0
568,0,8,3,1,0,0,0
475,0,3,3,1,0,0,0
1021,0,8,3,1,0,0,0
1055,1,8,3,1,0,0,0
1021,0,8,3,1,0,0,0
706,0,8,3,1,0,0,0
651,0,8,3,1,0,0,0
989,1,8,3,1,0,0,0
1071,0,8,3,1,0,0,0
908,1,9,3,1,0,0,0
684,0,8,3,1,0,0,0
469,0,8,3,1,0,0,0
428,1,5,3,1,0,0,0
814,0,8,3,1,0,0,0
814,0,8,3,1,0,0,0
1098,0,8,3,1,0,0,0
1098,1,2,3,1,0,0,0
679,1,8,3,1,0,0,0
988,0,8,3,1,0,0,0
1061,0,8,3,1,0,0,0
740,1,8,3,1,0,0,0
744,0,5,3,1,0,0,0
1080,0,8,3,1,0,0,0
891,1,9,3,1,0,0,0
1009,0,5,3,1,0,0,0
434,0,5,3,1,0,0,0
1042,1,8,3,1,0,0,0
860,1,1,3,1,0,0,0
678,0,1,3,1,0,0,0
431,0,8,3,1,0,0,0
438,0,9,3,1,0,0,0
554,1,2,3,1,0,0,0
665,1,1,3,1,0,0,0
470,0,8,3,1,0,0,0
470,0,8,3,1,0,0,0
672,0,8,3,1,0,0,0
1146,1,9,3,1,0,0,0
665,0,8,3,1,0,0,0
450,0,8,3,1,0,0,0
997,1,8,3,1,0,0,0
647,0,1,3,1,0,0,0
1053,0,8,3,1,0,0,0
875,0,5,3,1,0,0,0
894,0,5,3,1,0,0,0
566,0,8,3,1,0,0,0
587,1,9,3,1,0,0,0
987,0,8,3,1,0,0,0
488,0,8,3,1,0,0,0
1035,1,5,3,1,0,0,0
1035,1,8,3,1,0,0,0
1035,1,8,3,1,0,0,0
994,1,8,3,1,0,0,0
929,0,8,3,1,0,0,0
994,0,8,3,1,0,0,0
665,1,8,3,1,0,0,0
1000,1,5,3,1,0,0,0
665,0,8,3,1,0,0,0
895,0,8,3,1,0,0,0
615,0,8,3,1,0,0,0
750,0,8,3,1,0,0,0
771,0,8,3,1,0,0,0
120,1,2,3,1,0,0,0
521,0,0,3,1,0,0,0
881,1,2,3,1,0,0,0
607,0,8,3,1,0,0,0
529,0,5,3,1,0,0,0
615,0,8,3,1,0,0,0
649,0,8,3,1,0,0,0
774,1,9,3,1,0,0,0
674,0,2,3,1,0,0,0
777,0,8,3,1,0,0,0
768,1,1,3,1,0,0,0
450,0,8,3,1,0,0,0
484,0,9,3,1,0,0,0
674,1,2,3,1,0,0,0
484,0,8,3,1,0,0,0
674,1,2,3,1,0,0,0
637,0,9,3,1,0,0,0
919,1,9,3,1,0,0,0
636,0,8,3,1,0,0,0
474,0,8,3,1,0,0,0
786,0,8,3,1,0,0,0
1078,1,8,3,1,0,0,0
489,1,2,3,1,0,0,0
1021,1,4,3,1,0,0,0
626,0,7,3,1,0,0,0
665,1,9,3,1,0,0,0
835,0,9,3,1,0,0,0
1021,1,8,3,1,0,0,0
860,0,5,3,1,0,0,0
1021,1,1,3,1,0,0,0
667,0,9,3,1,0,0,0
709,0,8,3,1,0,0,0
1046,0,1,3,1,0,0,0
804,1,8,3,1,0,0,0
962,0,1,3,1,0,0,0
998,0,8,3,1,0,0,0
692,0,8,3,1,0,0,0
927,1,8,3,1,0,0,0
489,1,2,3,1,0,0,0
894,0,8,3,1,0,0,0
1053,0,8,3,1,0,0,0
911,0,8,3,1,0,0,0
799,0,8,3,1,0,0,0
911,0,8,3,1,0,0,0
678,0,8,3,1,0,0,0
927,1,4,3,1,0,0,0
1061,0,8,3,1,0,0,0
678,0,8,3,1,0,0,0
707,0,8,3,1,0,0,0
